# Aozora gaiji notation → Unicode mapping (JIS X 0213:2004)
# Source : https://x0213.org/codetable/jisx0213-2004-std.txt
# License: free use/modify/distribute (Project X0213, 2009)
# Format : plane-row-cell<TAB>character<TAB>U+XXXX[+XXXX]
#   plane=1 → Aozora 第3水準1-X-Y
#   plane=2 → Aozora 第4水準2-X-Y
1-1-1	　	3000
1-62-7	衍	884D
1-62-8	洶	6D36
1-62-9	洫	6D2B
1-62-10	洽	6D3D
1-62-11	洸	6D38
1-62-12	洙	6D19
1-62-13	洵	6D35
1-62-14	洳	6D33
1-62-15	洒	6D12
1-62-16	洌	6D0C
1-62-17	浣	6D63
1-62-18	涓	6D93
1-62-19	浤	6D64
1-62-20	浚	6D5A
1-62-21	浹	6D79
1-62-22	浙	6D59
1-62-23	涎	6D8E
1-62-24	涕	6D95
1-62-25	濤	6FE4
1-62-26	涅	6D85
1-62-27	淹	6DF9
1-62-28	渕	6E15
1-62-29	渊	6E0A
1-62-30	涵	6DB5
1-62-31	淇	6DC7
1-62-32	淦	6DE6
1-62-33	涸	6DB8
1-62-34	淆	6DC6
1-62-35	淬	6DEC
1-62-36	淞	6DDE
1-62-37	淌	6DCC
1-62-38	淨	6DE8
1-62-39	淒	6DD2
1-62-40	淅	6DC5
1-62-41	淺	6DFA
1-62-42	淙	6DD9
1-62-43	淤	6DE4
1-62-44	淕	6DD5
1-62-45	淪	6DEA
1-62-46	淮	6DEE
1-62-47	渭	6E2D
1-62-48	湮	6E6E
1-62-49	渮	6E2E
1-62-50	渙	6E19
1-62-51	湲	6E72
1-62-52	湟	6E5F
1-62-53	渾	6E3E
1-62-54	渣	6E23
1-62-55	湫	6E6B
1-62-56	渫	6E2B
1-62-57	湶	6E76
1-62-58	湍	6E4D
1-62-59	渟	6E1F
1-62-60	湃	6E43
1-62-61	渺	6E3A
1-62-62	湎	6E4E
1-62-63	渤	6E24
1-62-64	滿	6EFF
1-62-65	渝	6E1D
1-62-66	游	6E38
1-62-67	溂	6E82
1-62-68	溪	6EAA
1-62-69	溘	6E98
1-62-70	滉	6EC9
1-62-71	溷	6EB7
1-62-72	滓	6ED3
1-62-73	溽	6EBD
1-62-74	溯	6EAF
1-62-75	滄	6EC4
1-62-76	溲	6EB2
1-62-77	滔	6ED4
1-62-78	滕	6ED5
1-62-79	溏	6E8F
1-62-80	溥	6EA5
1-62-81	滂	6EC2
1-62-82	溟	6E9F
1-62-83	潁	6F41
1-62-84	漑	6F11
1-62-85	灌	704C
1-62-86	滬	6EEC
1-62-87	滸	6EF8
1-62-88	滾	6EFE
1-62-89	漿	6F3F
1-62-90	滲	6EF2
1-62-91	漱	6F31
1-62-92	滯	6EEF
1-62-93	漲	6F32
1-62-94	滌	6ECC
1-63-1	漾	6F3E
1-63-2	漓	6F13
1-63-3	滷	6EF7
1-63-4	澆	6F86
1-63-5	潺	6F7A
1-63-6	潸	6F78
1-63-7	澁	6F81
1-63-8	澀	6F80
1-63-9	潯	6F6F
1-63-10	潛	6F5B
1-63-11	濳	6FF3
1-63-12	潭	6F6D
1-63-13	澂	6F82
1-63-14	潼	6F7C
1-63-15	潘	6F58
1-63-16	澎	6F8E
1-63-17	澑	6F91
1-63-18	濂	6FC2
1-63-19	潦	6F66
1-63-20	澳	6FB3
1-63-21	澣	6FA3
1-63-22	澡	6FA1
1-63-23	澤	6FA4
1-63-24	澹	6FB9
1-63-25	濆	6FC6
1-63-26	澪	6FAA
1-63-27	濟	6FDF
