# Aozora gaiji notation → Unicode mapping (JIS X 0213:2004)
# Source : https://x0213.org/codetable/jisx0213-2004-std.txt
# License: free use/modify/distribute (Project X0213, 2009)
# Format : plane-row-cell<TAB>character<TAB>U+XXXX[+XXXX]
#   plane=1 → Aozora 第3水準1-X-Y
#   plane=2 → Aozora 第4水準2-X-Y
1-1-1	　	3000
1-63-28	濕	6FD5
1-63-29	濬	6FEC
1-63-30	濔	6FD4
1-63-31	濘	6FD8
1-63-32	濱	6FF1
1-63-33	濮	6FEE
1-63-34	濛	6FDB
1-63-35	瀉	7009
1-63-36	瀋	700B
1-63-37	濺	6FFA
1-63-38	瀑	7011
1-63-39	瀁	7001
1-63-40	瀏	700F
1-63-41	濾	6FFE
1-63-42	瀛	701B
1-63-43	瀚	701A
1-63-44	潴	6F74
1-63-45	瀝	701D
1-63-46	瀘	7018
1-63-47	瀟	701F
1-63-48	瀰	7030
1-63-49	瀾	703E
1-63-50	瀲	7032
1-63-51	灑	7051
1-63-52	灣	7063
1-63-53	炙	7099
1-63-54	炒	7092
1-63-55	炯	70AF
1-63-56	烱	70F1
1-63-57	炬	70AC
1-63-58	炸	70B8
1-63-59	炳	70B3
1-63-60	炮	70AE
1-63-61	烟	70DF
1-63-62	烋	70CB
1-63-63	烝	70DD
1-63-64	烙	70D9
1-63-65	焉	7109
1-63-66	烽	70FD
1-63-67	焜	711C
1-63-68	焙	7119
1-63-69	煥	7165
1-63-70	煕	7155
1-63-71	熈	7188
1-63-72	煦	7166
1-63-73	煢	7162
1-63-74	煌	714C
1-63-75	煖	7156
1-63-76	煬	716C
1-63-77	熏	718F
1-63-78	燻	71FB
1-63-79	熄	7184
1-63-80	熕	7195
1-63-81	熨	71A8
1-63-82	熬	71AC
1-63-83	燗	71D7
1-63-84	熹	71B9
1-63-85	熾	71BE
1-63-86	燒	71D2
1-63-87	燉	71C9
1-63-88	燔	71D4
1-63-89	燎	71CE
1-63-90	燠	71E0
1-63-91	燬	71EC
1-63-92	燧	71E7
1-63-93	燵	71F5
1-63-94	燼	71FC
1-64-1	燹	71F9
1-64-2	燿	71FF
1-64-3	爍	720D
1-64-4	爐	7210
1-64-5	爛	721B
1-64-6	爨	7228
1-64-7	爭	722D
1-64-8	爬	722C
1-64-9	爰	7230
1-64-10	爲	7232
1-64-11	爻	723B
1-64-12	爼	723C
1-64-13	爿	723F
1-64-14	牀	7240
1-64-15	牆	7246
1-64-16	牋	724B
1-64-17	牘	7258
1-64-18	牴	7274
1-64-19	牾	727E
1-64-20	犂	7282
1-64-21	犁	7281
1-64-22	犇	7287
1-64-23	犒	7292
1-64-24	犖	7296
1-64-25	犢	72A2
1-64-26	犧	72A7
1-64-27	犹	72B9
1-64-28	犲	72B2
1-64-29	狃	72C3
1-64-30	狆	72C6
1-64-31	狄	72C4
1-64-32	狎	72CE
1-64-33	狒	72D2
1-64-34	狢	72E2
1-64-35	狠	72E0
1-64-36	狡	72E1
1-64-37	狹	72F9
1-64-38	狷	72F7
1-64-39	倏	500F
1-64-40	猗	7317
1-64-41	猊	730A
1-64-42	猜	731C
1-64-43	猖	7316
1-64-44	猝	731D
1-64-45	猴	7334
1-64-46	猯	732F
1-64-47	猩	7329
1-64-48	猥	7325
1-64-49	猾	733E
1-64-50	獎	734E
1-64-51	獏	734F
1-64-52	默	9ED8
1-64-53	獗	7357
1-64-54	獪	736A
1-64-55	獨	7368
1-64-56	獰	7370
1-64-57	獸	7378
1-64-58	獵	7375
1-64-59	獻	737B
1-64-60	獺	737A
1-64-61	珈	73C8
1-64-62	玳	73B3
1-64-63	珎	73CE
1-64-64	玻	73BB
1-64-65	珀	73C0
1-64-66	珥	73E5
1-64-67	珮	73EE
1-64-68	珞	73DE
1-64-69	璢	74A2
1-64-70	琅	7405
1-64-71	瑯	746F
1-64-72	琥	7425
1-64-73	珸	73F8
1-64-74	琲	7432
1-64-75	琺	743A
1-64-76	瑕	7455
1-64-77	琿	743F
1-64-78	瑟	745F
1-64-79	瑙	7459
1-64-80	瑁	7441
1-64-81	瑜	745C
1-64-82	瑩	7469
1-64-83	瑰	7470
1-64-84	瑣	7463
1-64-85	瑪	746A
1-64-86	瑶	7476
1-64-87	瑾	747E
1-64-88	璋	748B
1-64-89	璞	749E
1-64-90	璧	74A7
1-64-91	瓊	74CA
1-64-92	瓏	74CF
1-64-93	瓔	74D4
1-64-94	珱	73F1
1-65-1	瓠	74E0
1-65-2	瓣	74E3
1-65-3	瓧	74E7
1-65-4	瓩	74E9
1-65-5	瓮	74EE
1-65-6	瓲	74F2
1-65-7	瓰	74F0
1-65-8	瓱	74F1
1-65-9	瓸	74F8
1-65-10	瓷	74F7
1-65-11	甄	7504
1-65-12	甃	7503
1-65-13	甅	7505
1-65-14	甌	750C
1-65-15	甎	750E
1-65-16	甍	750D
1-65-17	甕	7515
1-65-18	甓	7513
1-65-19	甞	751E
1-65-20	甦	7526
1-65-21	甬	752C
1-65-22	甼	753C
1-65-23	畄	7544
1-65-24	畍	754D
1-65-25	畊	754A
1-65-26	畉	7549
1-65-27	畛	755B
1-65-28	畆	7546
1-65-29	畚	755A
1-65-30	畩	7569
1-65-31	畤	7564
1-65-32	畧	7567
1-65-33	畫	756B
1-65-34	畭	756D
1-65-35	畸	7578
1-65-36	當	7576
1-65-37	疆	7586
1-65-38	疇	7587
1-65-39	畴	7574
1-65-40	疊	758A
1-65-41	疉	7589
1-65-42	疂	7582
1-65-43	疔	7594
1-65-44	疚	759A
1-65-45	疝	759D
1-65-46	疥	75A5
1-65-47	疣	75A3
1-65-48	痂	75C2
1-65-49	疳	75B3
1-65-50	痃	75C3
1-65-51	疵	75B5
1-65-52	疽	75BD
1-65-53	疸	75B8
1-65-54	疼	75BC
1-65-55	疱	75B1
1-65-56	痍	75CD
1-65-57	痊	75CA
1-65-58	痒	75D2
1-65-59	痙	75D9
1-65-60	痣	75E3
1-65-61	痞	75DE
1-65-62	痾	75FE
1-65-63	痿	75FF
1-65-64	痼	75FC
1-65-65	瘁	7601
1-65-66	痰	75F0
1-65-67	痺	75FA
